Cell Type	dATP	dCTP	dGTP	dTTP	ATP	CTP	GTP	UTP
CD4T	2.95	1.17	0.49	4.85	2150	58	558	221
hESC-H9	2.28	1.04	2.16	4.6	481.2	37.32	186.4	109.6
hESC-H9	2	0.84	1.8	3.84	458.4	34.56	195.2	104.8
hESC-H9	2.64	1.08	2.04	4.84	640.8	45.6	223.6	132.4
hESC-H9	2.28	0.96	2.2	4.12	464	37.04	201.6	114
HEK293T	5.7	2.7	1.55	15.5	3875.5	604	833	987
HEK293T	3.45	1.75	1.1	10	2111	336.5	425	585.5
HEK293T	6.15	2.4	1.65	15.3	3769	565.5	1119.5	1165
HEK293T	4.05	2.25	1.4	11.9	3015	474	654	742.5
RNH2A-KO T3-8	5.75	2.7	1.6	15.05	2834	428	600.5	743.5
RNH2A-KO T3-8	7.85	3.75	1.9	21.1	3257.5	542	775	943.5
RNH2A-KO T3-8	8.55	3.2	2	19.3	3308	549.5	771	957.5
RNH2A-KO T3-8	8.15	3.3	1.85	18.6	3437	524.5	751.5	956
RNH2A-KO T3-17	9	2.8	2.45	25.75	4413	685.5	971	1093
RNH2A-KO T3-17	15.85	6.05	3.7	50	8216	1255.5	1858.5	2247
RNH2A-KO T3-17	14.1	4.9	3.55	45.75	8363	1266.5	1885	2081
RNH2A-KO T3-17	14.9	5	3.8	45.2	8070	1248.5	1740.5	2155

